id,Dry,Wet
OutGroup_APO57079.1/1-256,0,0
PssRNA_Alphaflexiviridae_AAK61863.1/154-473,0,0.5
PssRNA_Alphaflexiviridae_ARG47557.1/1-320,2.166666667,0
PssRNA_Botourmiaviridae_ALD89131.1/1-700,0.333333333,0
PssRNA_Bromoviridae_ADE58487.1/1-127,62.74821937,124.3333333
PssRNA_Closteroviridae_A_dry_2_TRINITY_DN322185_c0_g1_i1_1/74-221,0.333333333,0
PssRNA_Closteroviridae_AAF22738.1/290-485,75.20192272,107.5883929
PssRNA_Closteroviridae_QBZ78517.1/201-397,0.5,0
PssRNA_Flaviviridae_alternative_AZB87716.1/1-113,0,0.5
PssRNA_Flaviviridae_NP_803209.1/219-333,2.384259259,2
PssRNA_Flaviviridae_YP_009227205.1/346-469,0.388888889,0.5
PssRNA_Hypoviridae_AHE13861.1/2441-3528,261.2222222,232.3333333
PssRNA_Ifaviridae_AGX00999.1/1-163,12.16666667,7.916666667
PssRNA_Leviviridae_ACT66740.1/155-455,0,0.333333333
PssRNA_Leviviridae_AUI11403.1/90-284,0.5,0
PssRNA_Leviviridae_AWW14802.1/90-320,0.5,0.5
PssRNA_Leviviridae_EDT73592.1/93-375,0.166666667,0
PssRNA_Leviviridae_NP_046752.1/155-455,0,1.166666667
PssRNA_Leviviridae_OLP95898.1/1735-2083,0.166666667,0
PssRNA_Leviviridae_QDH86446.1/239-558,0.333333333,0
PssRNA_Leviviridae_QDH86456.1/194-535,1.333333333,0.666666667
PssRNA_Leviviridae_QDH86477.1/184-524,1,0
PssRNA_Leviviridae_QDH86527.1/184-477,0,0.5
PssRNA_Leviviridae_QDH86574.1/200-543,0,0.333333333
PssRNA_Leviviridae_QDH86628.1/158-480,0.333333333,0
PssRNA_Leviviridae_QDH86704.1/153-478,0.833333333,0
PssRNA_Leviviridae_QDH86718.1/194-537,0,0.416666667
PssRNA_Leviviridae_QDH86728.1/140-451,0,4.916666667
PssRNA_Leviviridae_QDH86755.1/156-480,1.166666667,13.33333333
PssRNA_Leviviridae_QDH86845.1/197-538,0.666666667,0
PssRNA_Leviviridae_QDH86899.1/189-527,1.166666667,0
PssRNA_Leviviridae_QDH86903.1/124-387,1.833333333,1.166666667
PssRNA_Leviviridae_QDH86907.1/185-488,1,0
PssRNA_Leviviridae_QDH86980.1/126-443,1.166666667,0.833333333
PssRNA_Leviviridae_QDH87092.1/286-623,0.5,0
PssRNA_Leviviridae_QDH87135.1/303-512,0,0.833333333
PssRNA_Leviviridae_QDH87152.1/183-534,0,0.5
PssRNA_Leviviridae_QDH87169.1/170-515,0,1
PssRNA_Leviviridae_QDH87187.1/185-521,0,0.5
PssRNA_Leviviridae_QDH87256.1/184-524,1.666666667,1.5
PssRNA_Leviviridae_QDH87287.1/185-530,1.555555556,3.333333333
PssRNA_Leviviridae_QDH87300.1/154-482,9.277777778,6.833333333
PssRNA_Leviviridae_QDH87350.1/146-483,0,0.5
PssRNA_Leviviridae_QDH87453.1/190-530,0,0.5
PssRNA_Leviviridae_QDH87480.1/184-524,0,0.833333333
PssRNA_Leviviridae_QDH87494.1/162-408,1,1.666666667
PssRNA_Leviviridae_QDH87570.1/121-443,0,0.5
PssRNA_Leviviridae_QDH87587.1/197-538,0,0.666666667
PssRNA_Leviviridae_QDH87603.1/90-304,0.666666667,1.666666667
PssRNA_Leviviridae_QDH87665.1/186-525,0.5,0
PssRNA_Leviviridae_QDH87678.1/209-508,0,2.666666667
PssRNA_Leviviridae_QDH87769.1/116-433,0.5,9.666666667
PssRNA_Leviviridae_QDH87841.1/129-446,1.444444444,1.083333333
PssRNA_Leviviridae_QDH87891.1/159-475,0,1.666666667
PssRNA_Leviviridae_QDH87908.1/187-405,0.333333333,0
PssRNA_Leviviridae_QDH87976.1/14-350,0.791666667,1
PssRNA_Leviviridae_QDH88036.1/203-415,0.5,0
PssRNA_Leviviridae_QDH88083.1/140-432,0,0.5
PssRNA_Leviviridae_QDH88088.1/199-558,1,0
PssRNA_Leviviridae_QDH88102.1/185-525,0.666666667,0
PssRNA_Leviviridae_QDH88139.1/1-307,0.5,0
PssRNA_Leviviridae_QDH88160.1/90-361,0.666666667,0
PssRNA_Leviviridae_QDH88219.1/127-445,0,1.166666667
PssRNA_Leviviridae_QDH88300.1/125-442,0,1
PssRNA_Leviviridae_QDH88457.1/142-444,0,1.333333333
PssRNA_Leviviridae_QDH88463.1/127-446,0,0.666666667
PssRNA_Leviviridae_QDH88504.1/176-528,71.66666667,295.0833333
PssRNA_Leviviridae_QDH88508.1/194-521,0.666666667,0
PssRNA_Leviviridae_QDH88617.1/185-527,0,0.666666667
PssRNA_Leviviridae_QDH88692.1/154-482,10.25,94.91666667
PssRNA_Leviviridae_QDH88706.1/176-515,1,0
PssRNA_Leviviridae_QDH88717.1/143-435,0,1.333333333
PssRNA_Leviviridae_QDH88732.1/180-480,0.5,0
PssRNA_Leviviridae_QDH88857.1/179-430,0,13.82222222
PssRNA_Leviviridae_QDH88869.1/184-482,0.5,2.833333333
PssRNA_Leviviridae_QDH88874.1/198-536,1.333333333,0.333333333
PssRNA_Leviviridae_QDH88880.1/229-567,1,0.5
PssRNA_Leviviridae_QDH88925.1/246-556,0.5,0
PssRNA_Leviviridae_QDH88947.1/185-527,0.666666667,0.333333333
PssRNA_Leviviridae_QDH88967.1/178-528,0,0.5
PssRNA_Leviviridae_QDH89115.1/154-482,1.666666667,18
PssRNA_Leviviridae_QDH89181.1/184-523,0.333333333,0
PssRNA_Leviviridae_QDH89187.1/199-543,0.5,0
